input,output,model,bleu,bert,cosine,final_score,back_translation
The committee in its 103-page sixth and last report made public today on Conduct of Commonwealth Games 2010 said it has found material changes in official documents by Kalmadi to get the post of OC chief and also to have sweeping administrative control over it.,"ਕਮੇਟੀ ਨੇ ਆਪਣੀ 103-ਸਫ਼ੇ ਦੀ ਛੇਵੀਂ ਅਤੇ ਆਖਰੀ ਰਿਪੋਰਟ ਤੇ ਕਨਵੈਲਥ ਗੇਮਜ਼ 2010 ਦੇ ਸੰਚਾਲਨ ਬਾਰੇ ਅੱਜ ਜਨਤਕ ਕੀਤਾ ਹੈ, ਜਿਸ ਵਿੱਚ ਕਿਹਾ ਗਿਆ ਹੈ ਕਿ ਇਸ ਨੇ ਓਸੀ ਦੇ ਮੁਖੀ ਦੇ ਅਹੁਦੇ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰਨ ਅਤੇ ਇਸ ਉੱਤੇ ਵਿਆਪਕ ਪ੍ਰਸ਼ਾਸਕੀ ਨਿਯੰਤਰਣ ਕਰਨ ਲਈ ਕਲਮਾਦੀ ਦੁਆਰਾ ਅਧਿਕਾਰਤ ਦਸਤਾਵੇਜ਼ਾਂ ਵਿੱਚ ਮਹੱਤਵਪੂਰਣ ਤਬਦੀਲੀਆਂ ਲੱਭੀਆਂ ਹਨ।",NLLB,0.4364,0.9419,0.4201,0.8375,"The Committee has made public today its sixth and final 103-page report on the operation of the Commonwealth Games 2010, stating that it has found significant changes in the documents authorised by Kalmadi to achieve the position of Head of OC and to have comprehensive administrative control over it."
Mohan Lal SSP Kathua was chief guest of the occasion.,ਇਸ ਮੌਕੇ ਮੋਹਨ ਲਾਲ ਐੱਸ. ਐਸ. ਪੀ. ਕਥੁਆ ਮੁੱਖ ਮਹਿਮਾਨ ਸਨ।,NLLB,0.5098,0.9722,0.4198,0.8618,Mohan Lal SSP Kathua was the main guest.
"""%s"" could not be opened (%s)","""%s"" ਖੋਲ੍ਹਿਆ ਨਹੀਂ ਜਾ ਸਕਿਆ (%s)",M2M,0.1003,0.9428,0.788,0.9118,"Could not open ""%s"" (%s)"
The Akonadi server is running.,ਐਕਨੋਨਾਡੀ ਸਰਵਰ ਚਲਾਇਆ ਜਾ ਰਿਹਾ ਹੈ ।,M2M,0.3162,0.9028,0.4342,0.8091,Aconody server is being operated.
& Ignore attachments,ਅਟੈਚਮੈਂਟ ਅਣਡਿੱਠ( I),NLLB,0.0,0.8622,0.261,0.7419,Attachment ignored (I)
Skip this track,ਇਹ ਟਰੈਕ ਛੱਡੋ,NLLB,0.1291,0.903,0.408,0.804,Leave this trail
"""""""Eating fruit and vegetables apparently boosts our happiness far more quickly than it improves human health, said Andrew Oswald, professor at the University of Warwick in london.""",ਲੰਡਨ ਦੀ ਵਾਰਵਿਕ ਯੂਨੀਵਰਸਿਟੀ ਦੇ ਪ੍ਰੋਫੈਸਰ ਐਂਡਰਿਊ ਓਸਵਾਲਡ ਨੇ ਕਿਹਾ ਕਿ ਫਲ ਅਤੇ ਸਬਜ਼ੀਆਂ ਖਾਣ ਨਾਲ ਸਾਡੀ ਖ਼ੁਸ਼ੀ ਤੇਜ਼ੀ ਨਾਲ ਵੱਧ ਜਾਂਦੀ ਹੈ।,NLLB,0.2459,0.9441,0.0981,0.7749,"Andrew Oswald, a professor at Warwick University in London, said that eating fruits and vegetables increases our happiness rapidly."
the Employment Register,ਕਾਰਜ ਰਜਿਸਟਰ,M2M,0.0,0.8743,0.5385,0.8072,Registration of applications
Wireless transceivers disabled by hardware switch,ਹਾਰਡਵੇਅਰ ਸਵਿੱਚ ਨਾਲ ਵਾਇਰਲੈੱਸ ਟ੍ਰਾਂਸਾਈਵਰ ਅਸਮਰੱਥ,NLLB,0.3651,0.9648,0.0226,0.7763,Wireless transceiver disabled with hardware switch
"The four accused were acquitted after 11 years, including Swami Aseemanand, who had already confessed his crime, Qureshi said.",ਕੁਰੈਸ਼ੀ ਨੇ ਕਿਹਾ ਕਿ ਸਵਾਮੀ ਆਸੀਮਾਨੰਦ ਸਮੇਤ ਚਾਰ ਮੁਲਜ਼ਮਾਂ ਨੂੰ 11 ਸਾਲ ਬਾਅਦ ਮੁਕਤ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ।,NLLB,0.267,0.9403,0.2245,0.7972,"Four accused, including Swami Asiamanand, have been released after 11 years, Qureshi said."
Failed to send email,ਈਮੇਲ ਭੇਜਣ ਲਈ ਫੇਲ੍ਹ,M2M,0.4082,0.95,0.3572,0.8314,Failure to send e-mails
And what can we do to make wise use of this freedom? How did the Israelites show a lack of appreciation for the freedom that Jehovah gave them?,ਅਸੀਂ ਆਪਣੀ ਆਜ਼ਾਦੀ ਦਾ ਸਹੀ ਢੰਗ ਨਾਲ ਇਸਤੇਮਾਲ ਕਰਨ ਲਈ ਕੀ ਕਰ ਸਕਦੇ ਹਾਂ?,NLLB,0.1286,0.9272,-0.005,0.7407,What can we do to make good use of our freedom?
This is a folder and not a file: %1,ਇਹ ਫੋਲਡਰ ਅਤੇ ਫਾਇਲ ਨਹੀਂ ਹੈ:% 1,M2M,0.5777,0.9458,0.6232,0.8813,This is not a folder and file:% 1
"Bapu replied, 'No sir.","ਬੱਪੂ ਨੇ ਜਵਾਬ ਕੀਤਾ, “ਸਾਇਰ ਕੋਈ ਨਹੀਂ।",M2M,0.3162,0.9269,0.5428,0.8501,"Bapu replied, ""There is none""."
"District Youth Congress president Rajwinder Singh Lucky, state Youth Congress general secretary Vipin Taneja, MC president Dharam Pal Banger, Rahon MC president Sartaj Singh Mangewal, and Rahon city Congress president Naresh Parbhakar also spoke on the occasion.","ਇਸ ਮੌਕੇ ਜ਼ਿਲ੍ਹਾ ਯੂਥ ਕਾਂਗਰਸ ਦੇ ਪ੍ਰਧਾਨ ਰਾਜਵਿੰਦਰ ਸਿੰਘ ਲੱਕੀ, ਸੂਬੇ ਦੇ ਜਨਰਲ ਸਕੱਤਰ ਵਿਪਿਨ ਤਨੈਜਾ, ਐਮਸੀ ਪ੍ਰਧਾਨ ਦਰਾਮ ਪਾਲ ਬੰਗਰ, ਰਾਹੋਨ ਐਸ ਸੀ ਪ੍ਰਧਾਨ ਸਰਤਾਜ ਸਿੰਘ ਮਨਜਵਾਲ ਅਤੇ ਰਾਹਨ ਸਿਟੀ ਪਾਰਟੀ ਪ੍ਰਧਾਨ ਨਰੇਸ਼ ਪਰਭਾਕਰ ਨੇ ਵੀ ਭਾਸ਼ਣ ਦਿੱਤਾ।",NLLB,0.3223,0.9359,0.4526,0.8392,"Rajivinder Singh Lucky, Chairman of the District Youth Congress, Secretary General of the State, Vipin Tanaja, MC Chairman Dram Paul Banger, Rahon SC Chairman Sartaj Singh Manjwal and Rahon City Party Chairman Naresh Parbhakar also made speeches on the occasion."
The accused fled with the car.,ਮੁਲਜ਼ਮਾਂ ਨੇ ਕਾਰ ਨਾਲ ਫੜਿਆ।,M2M,0.069,0.9377,0.4829,0.8467,The suspects got caught in a car.
"For one thing, most of the public festivals and games were held in honor of pagan gods.",ਪਹਿਲੀ ਗੱਲ ਇਹ ਹੈ ਕਿ ਜ਼ਿਆਦਾਤਰ ਜਨਤਕ ਤਿਉਹਾਰ ਅਤੇ ਖੇਡਾਂ ਪਗਾਨ ਦੇਵਤਿਆਂ ਦੇ ਸਨਮਾਨ ਵਿਚ ਹੁੰਦੀਆਂ ਸਨ ।,NLLB,0.5521,0.9688,0.158,0.8066,"First, most public festivals and games were held in honour of pagan gods."
Show sleep button,Sleep ਬਟਨ ਵੇਖੋ,M2M,0.0913,0.9437,0.7778,0.9105,See the Sleep button
Youths detained for carrying weapon,ਹਥਿਆਰ ਲੈ ਕੇ ਨੌਜਵਾਨ ਗ੍ਰਿਫ਼ਤਾਰ,NLLB,0.0,0.9119,0.328,0.7951,A young man with a gun was arrested.
What is mine?,ਮੈਨੂੰ ਕੀ ਹੈ?,M2M,0.1291,0.9481,0.5154,0.8616,What am I?
His health has been deteriorating for the past few weeks.,ਪਿਛਲੇ ਕੁਝ ਹਫ਼ਤਿਆਂ ਤੋਂ ਉਨ੍ਹਾਂ ਦੀ ਸਿਹਤ ਵਿਗੜ ਰਹੀ ਹੈ।,NLLB,1.0,1.0,0.0738,0.8148,His health has been deteriorating for the past few weeks.
Time position: %1,ਟਾਈਮ ਸਥਿਤੀ:% 1,M2M,0.1291,0.9521,0.6865,0.899,Time position:% 1
The police are in search of the absconding persons.,ਪੁਲੀਸ ਮੁਲਜ਼ਮਾਂ ਦੀ ਖੋਜ ਕਰ ਰਹੀ ਹੈ।,M2M,0.0495,0.9377,0.439,0.8379,Police are searching for the suspects.
This was around 1995 or so.,ਇਹ 1995 ਤੋਂ ਵੱਧ ਸੀ।,M2M,0.2582,0.8915,0.8877,0.8907,This was higher than in 1995.
& View Source,ਸਰੋਤ ਵੇਖੋ( V),M2M,0.0,0.8764,0.5493,0.811,See source (s)
Raise window when rotating,ਘੁੰਮਣ ਵੇਲੇ ਵਿੰਡੋ ਵਧਾਓ,NLLB,0.5477,0.9171,0.2083,0.7753,Enlarge the window when rotating
Would he hold back something so good from you?,ਕੀ ਉਹ ਤੁਹਾਡੇ ਤੋਂ ਇੰਨੀ ਚੰਗੀ ਗੱਲ ਛੁਪਾਏਗਾ?,NLLB,0.2357,0.9514,0.0932,0.7798,Will he hide such a good thing from you?
"The arrested were identified as Harjit Singh, Hardeep Singh (both of Davida Rehana), Dilbagh Singhof Bahadurpur, Harvinder Singh and Gurdeep Singh (both of Badla) and seized two country-made pistols, two live cartridges, two knives, two sickles, two wooden handles and 60 gram intoxicating powder from them.","ਗ੍ਰਿਫ਼ਤਾਰ ਕੀਤੇ ਗਏ ਵਿਅਕਤੀਆਂ ਦੀ ਪਛਾਣ ਹਰਜੀਤ ਸਿੰਘ, ਹਰਦੀਪ ਸਿੰਘ (ਦੋਵੇਂ ਡੇਵਿਡ ਰੇਹਾਨਾ), ਦਿਲਬਾਗ ਸਿੰਘਘੋਫ ਬਹਾਦੁਰਪੁਰ, ਹੜਵਿੰਦਰ ਸਿੰਘ ਅਤੇ ਗੁਰਦੀਪੀ ਸਿੰਘ ਦੇ ਨਾਂ ਨਾਲ ਕੀਤੀ ਗਈ ਹੈ।",NLLB,0.1754,0.9075,0.3085,0.7877,"The arrested persons have been identified as Harjit Singh, Hardeep Singh (both David Rehana), Dilbag SinghGhoff Bahadurpur, Harvendra Singh and Gurdeep Singh."
(C) 2009 Alexander Rieder,(C) 2009 Alexander Rieder,M2M,1.0,1.0,1.0,1.0,(C) 2009 Alexander Rieder
KDE 3 Default Theme,KDE 3 ਡਿਫਾਲਟ ਟੇਮ,M2M,0.7071,0.9536,0.6545,0.8937,KDE 3 Default time
Hundreds of Indian students may be deported,ਸੈਂਕੜੇ ਭਾਰਤੀ ਵਿਦਿਆਰਥੀਆਂ ਨੂੰ ਹਟਾਇਆ ਜਾ ਸਕਦਾ ਹੈ ਦੇਸ਼,NLLB,0.7559,0.9952,0.4936,0.8949,Hundreds of Indian students could be deported
Sunanda Pushkar Death Case: Shashi Tharoor charged by Delhi Police with abetment of suicide,ਸੁਨੰਦਾ ਪੁਸ਼ਕਰ ਦੀ ਮੌਤ ਦਾ ਮਾਮਲਾ: ਸ਼ਸ਼ੀ ਥਰੂਰ ਤੇ ਦਿੱਲੀ ਪੁਲੀਸ ਵੱਲੋਂ ਖ਼ੁਦਕੁਸ਼ੀ ਦਾ ਦੋਸ਼,NLLB,0.521,0.9693,0.3202,0.8395,Sunanda Pushkar death case: Shashi Tharoor charged with suicide by Delhi Police
It is produced by Deepshikha Deshmukh and Sabita Mankachand and directed by Raka.,ਇਸ ਫ਼ਿਲਮ ਦਾ ਨਿਰਦੇਸ਼ਨ ਰਾਕਾ ਨੇ ਕੀਤਾ ਹੈ ਤੇ ਇਸ ਦੀ ਪ੍ਰੋਡਿਊਸ਼ਨ ਦੀਪਸ਼ੀਕਾ ਦੇਸ਼ਮੁਖ ਅਤੇ ਸਬੀਤਾ ਮਾਨਕਚੰਦ ਨੇ ਕੀਤੀ ਹੈ।,NLLB,0.4447,0.9372,0.3066,0.8111,The film is directed by Raka and produced by Deepika Deshmukh and Sabita Manakchand.
This will stop hiccups.,ਇਹ ਹਾਈਕੂਪਾਂ ਨੂੰ ਬਚਾਉਣਗੇ।,M2M,0.3162,0.8898,0.3659,0.785,This will save the hypocopes.
He was not saying anything.,ਉਸ ਨੇ ਕੋਈ ਗੱਲ ਨਹੀਂ ਕਿਹਾ।,M2M,0.0663,0.9565,0.7924,0.9236,He said nothing.
He was not joking.,ਉਸ ਨੇ ਚਲਾਇਆ ਨਹੀਂ ਸੀ।,M2M,0.1291,0.9259,0.4013,0.821,He did not drive.
Item type (function etc.),ਆਈਟਮ ਕਿਸਮ (ਫੰਕਸ਼ਨ ਆਦਿ),NLLB,1.0,1.0,0.296,0.8592,Item type (function etc.)
Default user name:,ਡਿਫਾਲਟ ਯੂਜ਼ਰ ਨਾਮ:,M2M,1.0,1.0,0.4003,0.8801,Default user name:
India delaying talks to finalise agreement to operationalise Kartarpur corridor: Pak,ਭਾਰਤ ਨੇ ਕਰਤਾਰਪੁਰ ਲਾਂਘੇ ਨੂੰ ਸੰਚਾਲਿਤ ਕਰਨ ਲਈ ਸਮਝੌਤੇ ਨੂੰ ਅੰਤਮ ਰੂਪ ਦੇਣ ਲਈ ਗੱਲਬਾਤ ਵਿੱਚ ਦੇਰੀ ਕੀਤੀ: ਪਾਕਿ,NLLB,0.2132,0.9616,0.1475,0.7988,India delayed negotiations to finalize agreement to operate Kartarpur Corridor: Pakistan
The Bible calls those superior beings spirits and angels. Psalm 104: 4.,ਬਾਈਬਲ ਨੇ ਉਹ ਸਭ ਤੋਂ ਵਧੀਆ ਪਿਆਰਾਂ ਨੂੰ ਪਿਆਰਾਂ ਅਤੇ ਅੰਗਲਾਂ ਨੂੰ ਕਿਹਾ ਹੈ । — ਪਿੱਛਾ 104: 4.,M2M,0.1195,0.9065,0.5877,0.8427,The Bible refers to the best of these as love and affection. - Pursuit 104:4.
"The central government has also cleared a proposal for upgradation of the Civil Hospital at Hoshiarpur, thereby enhancing its bed capacity from the existing 200 to 500, with the latest medical infrastructural facilities added to the hospital.","ਮੁੱਖ ਸਰਕਾਰ ਨੇ ਹੌਸ਼ਿਰਾਫਰ ਵਿੱਚ ਸਿਫਲ ਹਸਪਤਾਲ ਦੀ ਉਤਪਾਦਨ ਲਈ ਵੀ ਉਤਪਾਦ ਕੀਤਾ ਹੈ, ਜਿਸ ਨਾਲ ਇਸ ਨੂੰ ਮੌਜੂਦ 200 ਤੋਂ 500 ਤੋਂ ਬਦਲਾਉਣ ਦੀ ਸਮਰੱਥਾ ਉਤਪਾਦਨ ਕੀਤਾ ਗਿਆ ਹੈ, ਜਿਸ ਨਾਲ ਹਸਪਤਾਲ ਵਿੱਚ ਨਵੇਂ ਮੈਡੀਕਲ ਇੰਸਟਾਲੇਸ਼ਨ ਹਸਪਤਾਲ ਸ਼ਾਮਲ ਹਨ।",M2M,0.2513,0.8966,0.3136,0.78,"The Chief Government has also produced for the production of Syphil Hospital in Hoshifar, which has replaced its existing capacity from 200 to 500, which includes new medical installation hospitals in the hospital."
Executive director of the school,ਯੂਨੀਵਰਸਿਟੀ ਦੇ ਪ੍ਰਬੰਧਕ ਡਾਇਰੈਕਟਰ,M2M,0.0663,0.9267,0.5489,0.8511,University managing director
"Whether to use the ""--driver generic-mmc-raw"" flag with cdrdao. Set to True, brasero will use it; it may be a workaround for some drives/setups.","cdrdao ਨਾਲ ""--driver generic-mmc-raw"" ਫਲੈਗ ਵਰਤਣਾ ਚਾਹੀਦਾ ਹੈ। ਸਹੀ ਲਈ ਸੈੱਟ ਕਰੋ, ਬਰਾਸੀਰੋ ਇਸ ਨੂੰ ਵਰਤਣਾ ਚਾਹੀਦਾ ਹੈ; ਇਹ ਕੁਝ ਡਰਾਇਵ / ਸੈੱਟਅੱਪ ਲਈ ਕੰਮ ਕਰ ਸਕਦਾ ਹੈ।",M2M,0.4115,0.9481,0.645,0.8875,"cdrdao should use the ""--driver generic-mmc-raw"" flag. Set for correct, Brasiro should use it; it may work for some drives/setups."
"It has no historical basis, however.",ਪਰ ਇਸ 'ਤੇ ਕੋਈ ਇਤਿਹਾਸਕ ਸਥਿਤੀ ਨਹੀਂ ਹੈ।,M2M,0.189,0.9297,0.5033,0.8444,But there is no historical position on this.
Licensing / Encroachment Department,ਲਾਇਸੈਂਸਿੰਗ / ਇੰਕਰਾਚਮਿੰਗ ਵਿਭਾਗ,M2M,0.0823,0.9146,0.6367,0.8591,Licensing/Enrollment Department
"The Election Commission had been widely criticised for not releasing the Gujarat election dates earlier, when it announced Himachal Pradesh election dates.",ਚੋਣ ਕਮਿਸ਼ਨ ਨੇ ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼ ਚੋਣਾਂ ਦੀਆਂ ਤਾਰੀਖਾਂ ਦੀ ਘੋਸ਼ਣਾ ਕਰਦੇ ਹੋਏ ਗੁਜਰਾਤ ਦੀ ਚੋਣ ਦੀਆਂ ਤਰੀਕਾਂ ਦਾ ਐਲਾਨ ਨਾ ਕਰਨ ਦੀ ਵੱਡੀ ਆਲੋਚਨਾ ਕੀਤੀ ਸੀ।,NLLB,0.4782,0.9647,0.0184,0.7754,The Election Commission had criticized Gujarat for not announcing election dates when announcing Himachal Pradesh election dates.
"Yes, we met Mithali, Harman and the manager.","ਯਕੀਨੀ ਹੈ, ਅਸੀਂ ਮਿੱਥਲੀ, ਹਾਰਮਨ ਅਤੇ ਮੈਨਜਰ ਨਾਲ ਪਸੰਦ ਕਰ ਰਹੇ ਹਾਂ।",M2M,0.0527,0.9004,0.325,0.7853,"Sure, we are choosing with Mithli, Harmon and Manager."
"Not only is Jehovah our King but he is also our Father our loving, heavenly Father.",ਯਹੋਵਾਹ ਸਿਰਫ਼ ਸਾਡਾ ਰਾਜਾ ਹੀ ਨਹੀਂ ਬਲਕਿ ਸਾਡਾ ਪਿਤਾ ਵੀ ਹੈ ।,NLLB,0.3006,0.9311,0.6828,0.8814,Jehovah is not only our King but also our Father.
"Therefore, we do well to ask ourselves: Have I allowed the anxieties of life to push me off course?",ਇਸ ਲਈ ਸਾਨੂੰ ਆਪਣੇ ਆਪ ਤੋਂ ਪੁੱਛਣਾ ਚਾਹੀਦਾ ਹੈ:  ਕੀ ਮੈਂ ਜ਼ਿੰਦਗੀ ਦੀਆਂ ਚਿੰਤਾਵਾਂ ਨੂੰ ਮੈਨੂੰ ਰਸਤੇ ਤੋਂ ਦੂਰ ਕਰਨ ਦਿੱਤਾ ਹੈ?,NLLB,0.1748,0.956,-0.0567,0.7534,So we should ask ourselves: 'Have I allowed life's worries to distract me?
Starting %1 process.,% 1 ਕਾਰਜ ਸ਼ੁਰੂ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ।,M2M,0.0,0.9044,0.768,0.8771,Operation % 1 is being started.
"Once again Indian government has resorted to a self serving, reckless and fictitious claim.","ਭਾਰਤ ਸਰਕਾਰ ਨੇ ਇਕ ਵਾਰ ਫਿਰ ਸਵੈ-ਸੇਵਾ, ਬੇਰਹਿਮੀ ਅਤੇ ਕਥਿਤ ਦਾਅਵੇ ਦਾ ਸਹਾਰਾ ਲਿਆ ਹੈ।",NLLB,0.1657,0.9284,0.4423,0.8311,"The Government of India has once again resorted to self-service, cruelty and alleged claims."
They have demanded the police to arrest and punish the guilty.,ਪੁਲਿਸ ਨੇ ਦੋਸ਼ੀਆਂ ਨੂੰ ਗ੍ਰਿਫ਼ਤਾਰ ਕਰਨ ਅਤੇ ਸਜ਼ਾ ਦੇਣ ਦੀ ਮੰਗ ਕੀਤੀ ਹੈ।,NLLB,0.4369,0.9668,0.4593,0.8653,The police have demanded the arrest and punishment of the accused.
You need to supply a username and a password to access this site.,ਇਸ ਸਾਈਟ ਤੱਕ ਪਹੁੰਚਣ ਲਈ ਤੁਹਾਨੂੰ ਇੱਕ ਯੂਜ਼ਰ ਨਾਂ ਅਤੇ ਪਾਸਵਰਡ ਦੇਣਾ ਪਵੇਗਾ ।,NLLB,0.3079,0.9553,0.2417,0.8126,"To access this site, you must enter a username and password."
"Could not read the postId, not a string or an integer.","postId, ਕੋਈ ਸਤਰ ਜਾਂ ਪੂਰਨ ਅੰਕ ਨਹੀਂ ਪੜ੍ਹਿਆ ਜਾ ਸਕਿਆ ।",NLLB,0.029,0.929,0.4536,0.8339,"PostId, no strings or integers could be read."
It is not even past.,ਇਹ ਪਿਛਲੇ ਵੀ ਨਹੀਂ ਹੈ।,M2M,0.2582,0.9422,0.817,0.9171,This is not the past either.
Both these services have already started in the month of July.,ਇਹ ਦੋਵੇਂ ਸੇਵਾਵਾਂ ਜੁਲਾਈ ਮਹੀਨੇ ਤੋਂ ਸ਼ੁਰੂ ਹੋ ਚੁੱਕੀਆਂ ਹਨ।,NLLB,0.3436,0.9692,0.0979,0.7949,Both of these services have started from July.
Children dont need words to express themselves.,ਬੱਚੇ ਨੂੰ ਆਪਣੇ ਆਪ ਨੂੰ ਪ੍ਰਗਟ ਕਰਨ ਲਈ ਸ਼ਬਦ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ.,NLLB,0.4082,0.9748,0.2455,0.8289,A child does not need words to express himself.
Mark all messages in the selected thread as read,ਚੁਣੇ ਗਏ ਥਰਿੱਡ ਵਿੱਚ ਸਭ ਸੁਨੇਹੇ ਪੜ੍ਹੇ ਵਜੋਂ ਮਾਰਕ ਕਰੋ,NLLB,0.866,0.9832,0.077,0.8019,Mark all messages as read in the selected thread
GULZAR Singh Sandhu is a well-known short story writer of Punjabi.,ਗੁਲਜ਼ਾਰ ਸਿੰਘ ਸੰਧੂ ਪੰਜਾਬੀ ਦੀ ਇੱਕ ਮਸ਼ਹੂਰ ਕਹਾਣੀਕਾਰ ਹੈ।,NLLB,0.3182,0.9488,0.3359,0.8262,Gulzar Singh Sandhu is a famous Punjabi storyteller.
"""Prime Minister's Office PM's interaction with Secretaries PM: Credit for pro-incumbency must go to the team of officialsPM: Mandate reflects the will and aspirations of the people to change the status quo, and seek a better life for themselves.PM: All Ministries must focus on steps to improve """"Ease of Living"""" The Prime Minister, Shri Narendra Modi, today interacted with all Secretaries to the Government of India, at LokKalyan Marg.""",ਮੁੱਖ ਮੰਤਰੀ ਦੇ ਅਫਸਰ ਦੇ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦੇ ਸਕੱਤਰਾਂ ਨਾਲ ਸੰਪਰਕ: ਪ੍ਰੋ-ਇੰਕਮਪੇਸ਼ਨ ਲਈ ਕ੍ਰੈਡਿਟ ਸਰਕਾਰਾਂ ਦੀ ਟੀਮ ਵਿੱਚ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ। ਪ੍ਰਧਾਨ ਮੰਤਰੀ: ਮੈਨਡਿਟ ਨੇ ਭਾਰਤ ਸਰਕਾਰ ਦੇ ਸਾਰੇ ਸਕੱਤਰਾਂ ਨਾਲ ਸੰਪਰਕ ਕੀਤਾ ਹੈ।,M2M,0.0981,0.8627,0.3112,0.7524,Contact of the Chief Minister's Officer with the Prime Minister's Secretaries: Credits for pro-incorporation should go to the Governments team. Prime Minister: Mandate has contacted all the Secretaries of the Government of India.
"Ravinder Raina, BJP state president. Kavinder Gupta, former Deputy CM. Jugal Kishore Sharma, Lok Sabha MP. and Ashok Khajuria, MLC, garlanded Arun Dev and all his supporters at the party headquarters.","ਭਾਜਪਾ ਦੇ ਰਾਜ ਪ੍ਰਧਾਨ ਰਵੀਂਦਰ ਰਾਇਨਾ, ਸਾਬਕਾ ਡਿਪਟੀ ਮੁੱਖ ਮੰਤਰੀ ਕਵਿੰਦਰ ਗੁਪਤਾ, ਲੋਕ ਸਭਾ ਦੇ ਸੰਸਦ ਮੈਂਬਰ ਜੂਗਲ ਕਿਸ਼ੋਰ ਸ਼ਰਮਾ ਅਤੇ ਐਮਐਲਸੀ ਦੇ ਅਸ਼ੋਕ ਖਜੂਰੀਆ ਨੇ ਅਰੁਣ ਦੇਵ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਸਾਰੇ ਸਮਰਥਕਾਂ ਨੂੰ ਪਾਰਟੀ ਦੇ ਮੁੱਖ ਦਫ਼ਤਰ 'ਚ ਪੇਸ਼ ਕੀਤਾ।",NLLB,0.3564,0.9439,0.3802,0.8312,"BJP State President Raveendra Raina, Former Deputy Chief Minister Kovinder Gupta, Lok Sabha MP Jugal Kishore Sharma and MLC's Ashok Khajuria introduced Arun Deva and all his supporters to the party headquarters."
"Venice police chief Vito Gagliardi told the ANSA news agency that the thieves managed to delay the triggering of the alarm system, allowing them to escape.","ਵੇਨਿਸ ਪੁਲਿਸ ਮੁਖੀ ਵਿਟੋ ਗੈਗਲੀਅਰਡੀ ਨੇ ਏਐਨਐਸਏ ਖ਼ਬਰ ਏਜੰਸੀ ਨੂੰ ਦੱਸਿਆ ਕਿ ਚੋਰ ਅਲਾਰਮ ਸਿਸਟਮ ਨੂੰ ਚਲਾਉਣ ਵਿੱਚ ਦੇਰੀ ਕਰਨ ਵਿੱਚ ਕਾਮਯਾਬ ਰਹੇ, ਜਿਸ ਨਾਲ ਉਨ੍ਹਾਂ ਨੂੰ ਬਚਣ ਦੀ ਆਗਿਆ ਮਿਲੀ।",NLLB,0.719,0.9884,0.159,0.8225,"Venice Police Chief Vito Gagliardi told ANSA news agency that the thieves managed to delay the operation of the alarm system, which allowed them to escape."
Jehovah God lovingly holds out the prospect of a better life in Paradise to all who do his will.,ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਸ ਦੀ ਇੱਛਾ ਪੂਰੀ ਕਰਨ ਵਾਲਿਆਂ ਨੂੰ ਫਿਰਦੌਸ ਵਿਚ ਬਿਹਤਰ ਜ਼ਿੰਦਗੀ ਦੀ ਉਮੀਦ ਦਿੱਤੀ ਹੈ ।,NLLB,0.6398,0.9701,0.2293,0.822,Jehovah God has given the hope of a better life in Paradise to those who do his will.
"A three-judge panel of the US Second Circuit Court of Appeals threw out the case, dismissing charges levelled by rights group Sikhs for Justice that the Congress was responsible for the killings and the riots that followed the assassination of then Prime Minister Indira Gandhi.","ਅਮਰੀਕਾ ਦੀ ਦੂਜੀ ਸਰਕਟ ਅਪੀਲ ਅਦਾਲਤ ਦੇ ਤਿੰਨ ਜੱਜਾਂ ਦੀ ਪੈਨਲ ਨੇ ਮੁਕੱਦਮਾ ਖਾਰਜ ਕਰ ਦਿੱਤਾ ਹੈ, ਜਿਸ ਨੇ ਹੱਕ ਸਮੂਹ ਸਿੱਖ ਫਾਰ ਜਸਟਿਸ ਵੱਲੋਂ ਉਠਾਏ ਦੋਸ਼ਾਂ ਨੂੰ ਰੱਦ ਕੀਤਾ ਹੈ ਕਿ ਕਾਂਗਰਸ ਕਤਲੇਆਮ ਅਤੇ ਤਤਕਾਲੀ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਇੰਦਰਾ ਗਾਂਧੀ ਦੀ ਹੱਤਿਆ ਤੋਂ ਬਾਅਦ ਹੋਏ ਦੰਗਿਆਂ ਲਈ ਜ਼ਿੰਮੇਵਾਰ ਹੈ।",NLLB,0.6697,0.9758,0.1689,0.8145,"A three-judge panel of the US Court of Appeals for the Second Circuit has dismissed the case, dismissing allegations made by the rights group Sikhs for Justice that Congress is responsible for the massacre and riots after the assassination of then Prime Minister Indira Gandhi."
Water crisis in Punjab is becoming serious day by day.,ਪੰਜਾਬ ਵਿੱਚ ਪਾਣੀ ਦਾ ਸੰਕਟ ਦਿਨੋ-ਦਿਨ ਵਧਦਾ ਜਾ ਰਿਹਾ ਹੈ।,NLLB,0.6236,0.9781,0.3684,0.8562,The water crisis in Punjab is increasing day by day.
